history_id,seed,history_number,n_records,scenario,query_number,query_id,target_evidence_id,query_sha256,method,routing_vectors_scored,route_ms,total_search_ms,evidence_recalled,oracle_reader_correct,predicted_evidence_id,records_read,raw_vectors_scored,leaf_blocks_read,read_score_ms
n256_seed17_history0,17,0,256,random_keys,4,n256_seed17_history0_q4,85,5f30118b33a94eb9852d95e1af6be93fc002cf3251b3337da89cfe493b9ed37b,tree_beam_1,8,0.008625,0.012458,0,0,181,16,16,1,0.003833
n256_seed17_history0,17,0,256,random_keys,4,n256_seed17_history0_q4,85,5f30118b33a94eb9852d95e1af6be93fc002cf3251b3337da89cfe493b9ed37b,tree_beam_2,12,0.006458,0.010375,0,0,181,32,32,2,0.003917
n256_seed17_history0,17,0,256,random_keys,4,n256_seed17_history0_q4,85,5f30118b33a94eb9852d95e1af6be93fc002cf3251b3337da89cfe493b9ed37b,tree_beam_4,20,0.0065,0.011917,1,1,85,64,64,4,0.005417
n256_seed17_history0,17,0,256,random_keys,5,n256_seed17_history0_q5,139,55872c46351c71e6e6f3c5d328e1cebb9c1d320702ef25b56f764aaa7758d28f,raw_full_scan,0,0.000333,0.00825,1,1,139,256,256,16,0.007917
n256_seed17_history0,17,0,256,random_keys,5,n256_seed17_history0_q5,139,55872c46351c71e6e6f3c5d328e1cebb9c1d320702ef25b56f764aaa7758d28f,flat_1,16,0.001709,0.005459,0,0,89,16,16,1,0.00375
n256_seed17_history0,17,0,256,random_keys,5,n256_seed17_history0_q5,139,55872c46351c71e6e6f3c5d328e1cebb9c1d320702ef25b56f764aaa7758d28f,flat_2,16,0.001375,0.0055,0,0,21,32,32,2,0.004125
n256_seed17_history0,17,0,256,random_keys,5,n256_seed17_history0_q5,139,55872c46351c71e6e6f3c5d328e1cebb9c1d320702ef25b56f764aaa7758d28f,flat_4,16,0.001375,0.006666999999999999,1,1,139,64,64,4,0.005292
n256_seed17_history0,17,0,256,random_keys,5,n256_seed17_history0_q5,139,55872c46351c71e6e6f3c5d328e1cebb9c1d320702ef25b56f764aaa7758d28f,tree_beam_1,8,0.006667,0.010292,0,0,182,16,16,1,0.003625
n256_seed17_history0,17,0,256,random_keys,5,n256_seed17_history0_q5,139,55872c46351c71e6e6f3c5d328e1cebb9c1d320702ef25b56f764aaa7758d28f,tree_beam_2,12,0.00625,0.010042,1,1,139,32,32,2,0.003792
n256_seed17_history0,17,0,256,random_keys,5,n256_seed17_history0_q5,139,55872c46351c71e6e6f3c5d328e1cebb9c1d320702ef25b56f764aaa7758d28f,tree_beam_4,20,0.006292,0.011626000000000001,1,1,139,64,64,4,0.005334
n256_seed17_history0,17,0,256,random_keys,6,n256_seed17_history0_q6,234,bcadfccdea0ee6f260f9f747d0510ab155875937b7efb8761171c0a6b22f9dbc,raw_full_scan,0,0.000292,0.008292,1,1,234,256,256,16,0.008
n256_seed17_history0,17,0,256,random_keys,6,n256_seed17_history0_q6,234,bcadfccdea0ee6f260f9f747d0510ab155875937b7efb8761171c0a6b22f9dbc,flat_1,16,0.001708,0.0055,0,0,131,16,16,1,0.003792
n256_seed17_history0,17,0,256,random_keys,6,n256_seed17_history0_q6,234,bcadfccdea0ee6f260f9f747d0510ab155875937b7efb8761171c0a6b22f9dbc,flat_2,16,0.001417,0.005417,0,0,29,32,32,2,0.004
