n_records,scenario,method,queries,independent_histories,evidence_recalled_mean,oracle_reader_correct_mean,routing_vectors_scored_mean,records_read_mean,raw_vectors_scored_mean,leaf_blocks_read_mean,route_ms_mean,read_score_ms_mean,total_search_ms_mean,total_search_ms_median
1024,random_keys,flat_4,180,9,0.6166666666666667,0.6166666666666667,64.0,64.0,64.0,4.0,0.002924105555555555,0.006450938888888889,0.009375044444444444,0.00925
1024,random_keys,tree_beam_1,180,9,0.18333333333333332,0.18333333333333332,12.0,16.0,16.0,1.0,0.011975961111111107,0.004605733333333333,0.016581694444444444,0.016542
1024,random_keys,tree_beam_2,180,9,0.2833333333333333,0.2833333333333333,20.0,32.0,32.0,2.0,0.009385633333333332,0.004038422222222223,0.013424055555555555,0.013083000000000001
1024,random_keys,tree_beam_4,180,9,0.5222222222222223,0.5222222222222223,36.0,64.0,64.0,4.0,0.009664988888888887,0.005369933333333332,0.015034922222222222,0.014834
1024,topic_grouped,raw_full_scan,180,9,1.0,1.0,0.0,1024.0,1024.0,64.0,0.0003856388888888889,0.02004181111111111,0.02042745,0.020458
1024,topic_grouped,flat_1,180,9,0.7277777777777777,0.7277777777777777,64.0,16.0,16.0,1.0,0.003474538888888889,0.004532877777777777,0.008007416666666666,0.007833
1024,topic_grouped,flat_2,180,9,0.8777777777777778,0.8777777777777778,64.0,32.0,32.0,2.0,0.002730105555555555,0.005366399999999999,0.008096505555555553,0.008083
1024,topic_grouped,flat_4,180,9,1.0,1.0,64.0,64.0,64.0,4.0,0.0028546277777777777,0.006405544444444446,0.00926017222222222,0.009249
1024,topic_grouped,tree_beam_1,180,9,0.7,0.7,12.0,16.0,16.0,1.0,0.011578044444444442,0.004576877777777778,0.016154922222222225,0.016437
1024,topic_grouped,tree_beam_2,180,9,0.8777777777777778,0.8777777777777778,20.0,32.0,32.0,2.0,0.009207149999999999,0.0039724166666666675,0.013179566666666667,0.013
1024,topic_grouped,tree_beam_4,180,9,1.0,1.0,36.0,64.0,64.0,4.0,0.00962218333333333,0.005306227777777777,0.014928411111111107,0.014749499999999999
1024,topic_shuffled,raw_full_scan,180,9,1.0,1.0,0.0,1024.0,1024.0,64.0,0.0003935,0.020165916666666665,0.020559416666666667,0.0205
1024,topic_shuffled,flat_1,180,9,0.07222222222222222,0.07222222222222222,64.0,16.0,16.0,1.0,0.0035812500000000002,0.004379838888888888,0.00796108888888889,0.007813
1024,topic_shuffled,flat_2,180,9,0.16111111111111112,0.16111111111111112,64.0,32.0,32.0,2.0,0.002785472222222222,0.005504611111111109,0.008290083333333333,0.0081245
1024,topic_shuffled,flat_4,180,9,0.25555555555555554,0.25555555555555554,64.0,64.0,64.0,4.0,0.0029152722222222215,0.00634648888888889,0.00926176111111111,0.009292
1024,topic_shuffled,tree_beam_1,180,9,0.05,0.05,12.0,16.0,16.0,1.0,0.011806944444444441,0.004667794444444444,0.01647473888888889,0.0165415
1024,topic_shuffled,tree_beam_2,180,9,0.12777777777777777,0.12777777777777777,20.0,32.0,32.0,2.0,0.009257155555555554,0.003981444444444445,0.013238600000000001,0.012958
1024,topic_shuffled,tree_beam_4,180,9,0.20555555555555555,0.20555555555555555,36.0,64.0,64.0,4.0,0.009656933333333331,0.005356666666666665,0.0150136,0.014771
4096,random_keys,raw_full_scan,180,9,1.0,1.0,0.0,4096.0,4096.0,256.0,0.0004171333333333333,0.054971033333333336,0.05538816666666667,0.055208
4096,random_keys,flat_1,180,9,0.17222222222222222,0.17222222222222222,256.0,16.0,16.0,1.0,0.010050049999999998,0.005258988888888888,0.015309038888888888,0.01525
4096,random_keys,flat_2,180,9,0.2722222222222222,0.2722222222222222,256.0,32.0,32.0,2.0,0.006477772222222224,0.005467099999999999,0.01194487222222222,0.011916
4096,random_keys,flat_4,180,9,0.37222222222222223,0.37222222222222223,256.0,64.0,64.0,4.0,0.006154644444444444,0.006591855555555557,0.0127465,0.012584
4096,random_keys,tree_beam_1,180,9,0.03888888888888889,0.03888888888888889,16.0,16.0,16.0,1.0,0.013889583333333332,0.0038280388888888893,0.017717622222222222,0.017729
4096,random_keys,tree_beam_2,180,9,0.06666666666666667,0.06666666666666667,28.0,32.0,32.0,2.0,0.011888416666666663,0.004065561111111111,0.015953977777777777,0.0157085
4096,random_keys,tree_beam_4,180,9,0.17777777777777778,0.17777777777777778,52.0,64.0,64.0,4.0,0.01259076111111111,0.005350022222222221,0.017940783333333335,0.017791500000000002
