history_id,n_records,scenario,build_ms,index_vector_bytes,raw_storage_bytes,levels_including_root,canonical_archive_sha256,index_vectors
n4096_seed41_history0,4096,topic_shuffled,0.080041,87296,1114112,5,4be6876177b159e2f58c06b0f996fbe3f0d691b216ea4be4ccc4f53dca5001f2,341
n4096_seed41_history1,4096,random_keys,0.089166,87296,1114112,5,70ccfcd1ad1975829da79530cefe1fb5a44a3b0e1f5492b352d745a50226d965,341
n4096_seed41_history1,4096,topic_grouped,0.080041,87296,1114112,5,fc932387e81a524ab9324cd50f62ad26d188c9845ac1fde6bcbf49456effc492,341
n4096_seed41_history1,4096,topic_shuffled,0.080375,87296,1114112,5,fc932387e81a524ab9324cd50f62ad26d188c9845ac1fde6bcbf49456effc492,341
n4096_seed41_history2,4096,random_keys,0.089958,87296,1114112,5,15f21cd965e14685aee1b35235726ed1d7cb261a0d54f2c5b2999de8c341bf4e,341
n4096_seed41_history2,4096,topic_grouped,0.083541,87296,1114112,5,98c5322c1f2800818c4b5d528dee44d7739ed56a8add157cf151122b8d65121e,341
n4096_seed41_history2,4096,topic_shuffled,0.082,87296,1114112,5,98c5322c1f2800818c4b5d528dee44d7739ed56a8add157cf151122b8d65121e,341
n4096_seed83_history0,4096,random_keys,0.088,87296,1114112,5,ad2d30b65ae7ff5cab313ef909a2960ee64992491a29db10049176065e0cef6a,341
n4096_seed83_history0,4096,topic_grouped,0.083375,87296,1114112,5,148e562b3b6c5f7a0a3d8c1bc26dec3f555af9b7072f3511dca9b4c43d8b15de,341
n4096_seed83_history0,4096,topic_shuffled,0.0825,87296,1114112,5,148e562b3b6c5f7a0a3d8c1bc26dec3f555af9b7072f3511dca9b4c43d8b15de,341
n4096_seed83_history1,4096,random_keys,0.086542,87296,1114112,5,4c4a96de382d49f7c995d0e5b85465a8d0bd9027b6e12ad6e0c03c387edf28bd,341
n4096_seed83_history1,4096,topic_grouped,0.08025,87296,1114112,5,36785953bb3154b22dc1491870dbc4a82ec407ff91a324fb06ca37fe97cc4be4,341
n4096_seed83_history1,4096,topic_shuffled,0.078458,87296,1114112,5,36785953bb3154b22dc1491870dbc4a82ec407ff91a324fb06ca37fe97cc4be4,341
n4096_seed83_history2,4096,random_keys,0.090667,87296,1114112,5,7b20a9f79cfb0445031e40bdb2fdc0b7ba279045c421a6cdf06263f8f2749cf0,341
n4096_seed83_history2,4096,topic_grouped,0.083209,87296,1114112,5,d0f9d00ec6ac5271ad90749bb94cbc457756193b6c179ef477abaf495e67acbc,341
n4096_seed83_history2,4096,topic_shuffled,0.080917,87296,1114112,5,d0f9d00ec6ac5271ad90749bb94cbc457756193b6c179ef477abaf495e67acbc,341
